product_id,cust_rating,comment,date
21334304,5,"I recently purchased an ethnic dress that exceeded my expectations in both style and quality. The fabric is rich and vibrant, showcasing intricate embroidery that reflects the artistry of traditional craftsmanship. The fit is perfect, flattering my silhouette while allowing for comfortable movement. What I love most is the versatility of the dress, it transitions beautifully from casual gatherings to more formal occasions. The attention to detail, from the stitching to the embellishments, is impressive, and it feels like a piece that can be cherished for years. Overall, this ethnic dress is not just a piece of clothing, a statement of culture and elegance. I highly recommend it to anyone looking to add a touch of tradition to their wardrobe!",6 Oct 2024
21334304,5,"Shopping on Myntra has been an absolute delight! From trendy fashion pieces to essential everyday items, Myntra offers a vast selection that caters to every style and need. The user-friendly interface makes browsing effortless, and the detailed product descriptions ensure I always know what I'm getting. What truly sets Myntra apart is their impeccable customer service; they're responsive, helpful, and go above and beyond to resolve any queries. Plus, the swift delivery and easy returns make shopping here a stress-free experience. Myntra has definitely become my go-to online shopping destination",26 June 2024
21334304,4,"The product's color is exactly the same as the one shown in the picture. There is no difference between the two. The quality of the product is exceptional and there are no issues with the fitting. The product fits perfectly and is very comfortable to wear. The material used is of high quality, ensuring that the product will last for a long time. Overall, the product is of great value and I am very satisfied with my purchase.",28 Apr 2024
21334304,5,Simply loved the dress. Everything about it is just perfect. Whenever I have worn it I have received many compliments. Soft cotton fabric is all you need for the summers. Color and print compliment each other. Dress length and design makes it perfect for any occasion. Casual but classy dress. I highly recommend buying it.,13 Sept 2024
21334304,5,"“I absolutely love this floral maxi dress! The print is vibrant and perfect for any season, whether you’re dressing up for a summer event or layering in cooler months. The material is soft and lightweight, making it super comfortable to wear all day. I also appreciate how flattering the cut is, with just the right amount of flow to give it a beautiful, elegant silhouette. It’s versatile too—you can dress it up with heels or go casual with sandals. I’ve received so many compliments every when I wear it. Highly recommend!”",10 Oct 2024
28688510,5,One of the best dresses that I have currently added to my wardrobe . The fitting the quality the style everything is on the mark. The way this flares while walking is really pretty. Truly one of the best purchases . Thank you Myntra.,27 Oct 2024
28688510,5,I just love this dress.. Much comfy and great fabric with vibrant color which looks exactly the same as the pic... I totally fell in love with the dress 😍😍💕💕💕,21 July 2024
28688510,5,I'm so happy after buying this dress.. it is just perfect... Worth buying.. fitting is also good.. brought S size,19 Aug 2024
28688510,5,Beautiful Size and material everything goes well.,11 Nov 2024
28688510,5,Dress is really pretty. Worth to buy😍😍😍,21 Aug 2024
30985741,5,"The gown is exactly as shown in the picture, very beautiful, looks like a designer piece, thank you Myntra. I bought it in XXL size and it fits perfectly.",2 Nov 2024
30985741,5,So amazing 😍,16 Nov 2024
30985741,1,Very bad quality,12 Oct 2024
30985741,5,beautiful ok ok quality,1 Oct 2024
30985741,3,"Looks a bit dull, fitting not great. Cloth quality is not great",6 Oct 2024
24956644,5,"This green bodycon dress is a striking choice that blends elegance with a pop of color. The full sleeves add a touch of modesty, while the form-fitting silhouette accentuates the figure. Perfect for both day and night events, the green hue offers a refreshing alternative to classic black, making it stand out. This dress combines style and comfort, offering a chic, understated look with the right balance of sophistication and allure.",15 Sept 2024
24956644,5,"Perfect bodycon dress, quality 👌 bought both blue and green from same brand 1 year back.quality of clothes and fitting is awsome, got so many compliments, perfect trendsetter 👌 uploading pix very late.",1 July 2024
24956644,5,A beautiful dress...fits like a glove. I am generally S/M size...but i ordered size L and it fitted well,1 Mar 2024
24956644,5,Loved the product it fits very nicely . Go for it without thinking,8 Aug 2024
24956644,4,My Classy Party dress🪩✨ The fit is so good that always makes me look elegant 🧨✨,29 Sept 2024
11368696,4,Good dress. Some beads of the bead work were loose and delicate,5 Feb 2020
11368696,5,"The dress fits true to size m. The fabric is soft, breathable, and holds its shape well, providing both durability and comfort. The quality is excellent, with neat stitching and no visible flaws. The color is good and stays true even after washing. Overall, this dress is stylish, versatile, and perfect for both casual and more formal occasions. Highly recommend!",9 Nov 2024
11368696,5,Awesome Dress❤️Just loved it😍😍,15 Feb 2024
11368696,5,"The colour of the dress is slightly different than the one in the image, but the color is nice and it fits great",28 Jan 2021
11368696,5,This dress.. made my day... I loved it sooo much... It is just perfect For your special day... Everything is good....,27 Aug 2024
10813300,5,This is the one of the best dress I ever purchased from Myntra...i really love this 👗 dress everyone loves this .... Quality and material of this dress is very good 👍🏻😊. I like this so much ...it's amazing 😍🤩. I received so many compliments from this dress 👗. ...it's colour and thread work is awesome 👍🏻😎. Myntra never dess appoint as ...love u Myntra from the bottom of my heart ❤️💜.... I'm ur happiest customer...💓👍🏻. Love u forever and ever and ever ...... Myntra 🧡,11 Nov 2024
10813300,5,"Absolutely amazing Dress, completely in love with and , seriously it is the best if you are the centre attraction of the party..... Lovely a must buy the Size, fitting and everything is perfect and flawless 😍 In real the dress looks much more better then the picture of model",16 Feb 2024
10813300,4,Quality is good. But somehow it's fit loose..not look like as i expected may be it's not suits me. But at all it's good,20 Feb 2020
10813300,5,Amazing dress just loved it 😍. Perfect fitting and material quality is also amazing . Best for party.,24 Sept 2024
31437834,1,Not fit dress this is my personal information,30 Nov 2024
31437834,4,Good quality,9 Dec 2024
31437834,5,Very nice,27 Nov 2024
